"Time.s";"Vocalizing";"Looking";"Head";"Leg";"Hand_L";"Hand_R"
"1";0;"Voc_no";"Look_look";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"2";1;"Voc_no";"Look_look";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"3";2;"Voc_no";"Look_look";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"4";3;"Voc_bch";"Look_look";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"5";4;"Voc_bch";"Look_look";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"6";5;"Voc_no";"Look_no";"Head_no";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"7";6;"Voc_no";"Look_no";"Head_no";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"8";7;"Voc_no";"Look_no";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"9";8;"Voc_no";"Look_no";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"10";9;"Voc_no";"Look_no";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"11";10;"Voc_no";"Look_look";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"12";11;"Voc_no";"Look_look";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"13";12;"Voc_no";"Look_no";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"14";13;"Voc_no";"Look_no";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"15";14;"Voc_no";"Look_no";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"16";15;"Voc_no";"Look_no";"Head_no";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"17";16;"Voc_no";"Look_look";"Head_other";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"18";17;"Voc_no";"Look_look";"Head_other";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"19";18;"Voc_no";"Look_look";"Head_other";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"20";19;"Voc_no";"Look_look";"Head_other";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"21";20;"Voc_no";"Look_look";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"22";21;"Voc_no";"Look_look";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"23";22;"Voc_bch";"Look_look";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"24";23;"Voc_bch";"Look_no";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"25";24;"Voc_no";"Look_no";"Head_no";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"26";25;"Voc_bch";"Look_no";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"27";26;"Voc_bch";"Look_no";"Head_nod";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"28";27;"Voc_no";"Look_no";"Head_no";"Leg_no";"Hand_L.obtou";"Hand_R.botou"
"29";28;"Voc_bch";"Look_no";"Head_no";"Leg_no";"Hand_L.no";"Hand_R.botou"
"30";29;"Voc_bch";"Look_no";"Head_no";"Leg_no";"Hand_L.no";"Hand_R.botou"
"31";30;"Voc_no";"Look_no";"Head_no";"Leg_no";"Hand_L.no";"Hand_R.botou"
"32";31;"Voc_speak";"Look_no";"Head_no";"Leg_no";"Hand_L.no";"Hand_R.botou"
"33";32;"Voc_speak";"Look_look";"Head_no";"Leg_no";"Hand_L.no";"Hand_R.botou"
"34";33;"Voc_speak";"Look_look";"Head_other";"Leg_no";"Hand_L.no";"Hand_R.botou"
"35";34;"Voc_no";"Look_look";"Head_other";"Leg_no";"Hand_L.no";"Hand_R.botou"
"36";35;"Voc_no";"Look_look";"Head_other";"Leg_no";"Hand_L.no";"Hand_R.botou"
"37";36;"Voc_no";"Look_look";"Head_other";"Leg_no";"Hand_L.no";"Hand_R.gest"
"38";37;"Voc_no";"Look_look";"Head_other";"Leg_no";"Hand_L.no";"Hand_R.gest"
"39";38;"Voc_no";"Look_look";"Head_shake";"Leg_no";"Hand_L.no";"Hand_R.gest"
"40";39;"Voc_no";"Look_no";"Head_shake";"Leg_no";"Hand_L.no";"Hand_R.botou"
"41";40;"Voc_no";"Look_no";"Head_shake";"Leg_no";"Hand_L.no";"Hand_R.botou"
"42";41;"Voc_speak";"Look_no";"Head_no";"Leg_no";"Hand_L.no";"Hand_R.botou"
"43";42;"Voc_speak";"Look_no";"Head_no";"Leg_no";"Hand_L.no";"Hand_R.botou"
"44";43;"Voc_speak";"Look_look";"Head_no";"Leg_no";"Hand_L.no";"Hand_R.botou"
"45";44;"Voc_speak";"Look_look";"Head_other";"Leg_move";"Hand_L.no";"Hand_R.botou"
"46";45;"Voc_speak";"Look_look";"Head_other";"Leg_move";"Hand_L.no";"Hand_R.botou"
"47";46;"Voc_speak";"Look_look";"Head_other";"Leg_no";"Hand_L.no";"Hand_R.gest"
"48";47;"Voc_speak";"Look_look";"Head_other";"Leg_move";"Hand_L.no";"Hand_R.gest"
"49";48;"Voc_no";"Look_look";"Head_other";"Leg_move";"Hand_L.no";"Hand_R.gest"
"50";49;"Voc_no";"Look_look";"Head_no";"Leg_move";"Hand_L.no";"Hand_R.gest"
"51";50;"Voc_speak";"Look_look";"Head_other";"Leg_move";"Hand_L.no";"Hand_R.gest"
"52";51;"Voc_speak";"Look_look";"Head_other";"Leg_no";"Hand_L.no";"Hand_R.gest"
"53";52;"Voc_speak";"Look_look";"Head_nod";"Leg_no";"Hand_L.no";"Hand_R.gest"
"54";53;"Voc_speak";"Look_look";"Head_nod";"Leg_no";"Hand_L.no";"Hand_R.gest"
"55";54;"Voc_no";"Look_look";"Head_no";"Leg_no";"Hand_L.no";"Hand_R.gest"
"56";55;"Voc_no";"Look_look";"Head_other";"Leg_no";"Hand_L.no";"Hand_R.gest"
"57";56;"Voc_no";"Look_look";"Head_other";"Leg_no";"Hand_L.no";"Hand_R.gest"
"58";57;"Voc_no";"Look_look";"Head_nod";"Leg_no";"Hand_L.no";"Hand_R.gest"
"59";58;"Voc_no";"Look_look";"Head_nod";"Leg_no";"Hand_L.no";"Hand_R.gest"
"60";59;"Voc_no";"Look_look";"Head_no";"Leg_no";"Hand_L.no";"Hand_R.gest"
"61";60;"Voc_bch";"Look_look";"Head_nod";"Leg_no";"Hand_L.no";"Hand_R.gest"
"62";61;"Voc_bch";"Look_no";"Head_nod";"Leg_no";"Hand_L.no";"Hand_R.gest"
"63";62;"Voc_bch";"Look_no";"Head_nod";"Leg_no";"Hand_L.no";"Hand_R.botou"
"64";63;"Voc_bch";"Look_no";"Head_nod";"Leg_no";"Hand_L.no";"Hand_R.botou"
"65";64;"Voc_no";"Look_look";"Head_nod";"Leg_no";"Hand_L.no";"Hand_R.botou"
"66";65;"Voc_no";"Look_look";"Head_no";"Leg_no";"Hand_L.no";"Hand_R.botou"
"67";66;"Voc_no";"Look_no";"Head_other";"Leg_no";"Hand_L.no";"Hand_R.botou"
